Suburb,Distance,Crime
abbotsford,2.5,1053.0
airport west,13.5,737.0
albert park,3.3,572.0
alphington,6.4,209.0
altona,13.8,613.0
altona north,11.1,967.0
armadale,6.3,561.0
ascot vale,5.9,1271.0
ashburton,11.0,382.0
ashwood,12.2,415.0
avondale heights,10.5,394.0
balaclava,6.6,532.0
balwyn,9.7,412.0
balwyn north,9.2,521.0
bentleigh,13.0,671.0
bentleigh east,13.9,832.0
box hill,13.1,986.0
braybrook,10.8,939.0
brighton,11.2,1184.0
brighton east,10.7,490.0
brunswick,5.2,2666.0
brunswick west,5.9,850.0
bulleen,11.8,358.0
burwood,11.7,108.0
camberwell,7.8,1028.0
canterbury,9.0,213.0
carlton north,3.2,22.0
carnegie,11.4,783.0
caulfield,8.9,326.0
caulfield north,8.1,548.0
caulfield south,9.3,420.0
chadstone,13.6,621.0
clifton hill,3.4,563.0
coburg,7.8,2314.0
coburg north,9.2,964.0
collingwood,1.6,1764.0
doncaster,13.9,1122.0
eaglemont,10.3,169.0
elsternwick,8.5,573.0
elwood,7.7,925.0
essendon,8.0,1211.0
essendon north,9.4,194.0
fairfield,5.8,374.0
fitzroy,1.6,2320.0
fitzroy north,3.5,35.0
flemington,4.4,200.0
footscray,6.4,2453.0
glen iris,9.2,549.0
glenroy,13.0,1582.0
gowanbrae,13.6,77.0
hadfield,12.1,417.0
hampton east,14.5,339.0
hawthorn,4.6,1268.0
heidelberg heights,10.5,543.0
heidelberg west,9.4,865.0
hughesdale,13.0,319.0
ivanhoe,7.9,656.0
kealba,15.0,242.0
keilor east,12.8,119.0
kensington,4.2,862.0
kew,5.6,1217.0
kew east,7.5,187.0
kooyong,6.2,75.0
maidstone,9.2,648.0
malvern,7.4,663.0
malvern east,11.2,1793.0
maribyrnong,8.7,1412.0
melbourne,2.8,15485.0
middle park,4.1,227.0
mont albert,11.8,2.0
moonee ponds,6.9,1169.0
moorabbin,14.6,931.0
newport,8.4,669.0
niddrie,11.2,230.0
north melbourne,2.3,1370.0
northcote,5.5,1866.0
oak park,11.5,276.0
oakleigh south,14.7,150.0
parkville,2.6,668.0
pascoe vale,9.9,910.0
port melbourne,3.8,152.0
prahran,4.5,2099.0
preston,8.8,4841.0
reservoir,11.2,3527.0
richmond,2.6,3158.0
rosanna,11.4,331.0
seddon,6.6,237.0
south melbourne,2.1,1746.0
