Rooms,Type,Price,Distance,Bathroom,Car,Landsize,Year,Month,Crime
2,h,1480000.0,2.5,1.0,1.0,202.0,2016,2,1053.0
2,h,1035000.0,2.5,1.0,0.0,156.0,2016,3,1053.0
4,h,1600000.0,2.5,1.0,2.0,120.0,2016,3,1053.0
2,h,941000.0,2.5,1.0,0.0,181.0,2016,6,1053.0
3,h,1876000.0,2.5,2.0,0.0,245.0,2016,6,1053.0
2,h,1636000.0,2.5,1.0,2.0,256.0,2016,7,1053.0
1,u,300000.0,2.5,1.0,1.0,0.0,2016,7,1053.0
2,h,1097000.0,2.5,1.0,2.0,220.0,2016,7,1053.0
2,u,700000.0,2.5,2.0,1.0,0.0,2016,11,1053.0
3,h,1350000.0,2.5,2.0,2.0,214.0,2016,11,1053.0
2,u,750000.0,2.5,2.0,1.0,0.0,2016,11,1053.0
2,h,1172500.0,2.5,1.0,1.0,195.0,2016,7,1053.0
1,u,441000.0,2.5,1.0,1.0,0.0,2016,4,1053.0
2,h,1310000.0,2.5,1.0,2.0,238.0,2016,9,1053.0
3,h,1200000.0,2.5,2.0,1.0,113.0,2016,6,1053.0
3,h,1176500.0,2.5,1.0,1.0,138.0,2016,6,1053.0
3,h,955000.0,2.5,1.0,0.0,183.0,2016,8,1053.0
2,h,890000.0,2.5,1.0,1.0,150.0,2016,8,1053.0
2,u,500000.0,2.5,1.0,1.0,0.0,2016,5,1053.0
2,h,1100000.0,2.5,2.0,1.0,124.0,2016,5,1053.0
2,h,1315000.0,2.5,1.0,0.0,147.0,2016,10,1053.0
1,u,426000.0,2.5,1.0,1.0,0.0,2016,7,1053.0
3,h,1447500.0,2.5,3.0,1.0,166.0,2016,7,1053.0
1,u,457000.0,2.5,1.0,1.0,0.0,2016,7,1053.0
2,h,1135000.0,2.5,2.0,2.0,98.0,2016,7,1053.0
4,h,1542000.0,2.5,3.0,1.0,0.0,2016,8,1053.0
1,u,470000.0,2.5,1.0,1.0,0.0,2016,6,1053.0
2,h,1180000.0,2.5,1.0,0.0,162.0,2016,10,1053.0
3,h,1195000.0,2.5,2.0,1.0,120.0,2016,10,1053.0
2,h,1012500.0,2.5,1.0,0.0,182.0,2016,4,1053.0
2,h,1030000.0,2.5,1.0,1.0,172.0,2016,6,1053.0
3,t,840000.0,13.5,2.0,1.0,303.0,2016,2,737.0
3,h,730000.0,13.5,2.0,1.0,0.0,2016,2,737.0
3,h,720000.0,13.5,1.0,1.0,620.0,2016,5,737.0
4,h,785000.0,13.5,1.0,2.0,597.0,2016,5,737.0
6,h,725000.0,13.5,3.0,2.0,976.0,2016,6,737.0
2,t,450000.0,13.5,1.0,1.0,110.0,2016,6,737.0
2,u,515000.0,13.5,1.0,1.0,141.0,2016,6,737.0
2,u,530000.0,13.5,1.0,1.0,120.0,2016,9,737.0
3,h,895000.0,13.5,1.0,6.0,1063.0,2016,9,737.0
3,h,805000.0,13.5,1.0,1.0,0.0,2016,9,737.0
2,u,440000.0,13.5,1.0,1.0,192.0,2016,7,737.0
5,h,755000.0,13.5,2.0,2.0,596.0,2016,4,737.0
3,t,700000.0,13.5,2.0,2.0,165.0,2016,9,737.0
3,h,830000.0,13.5,1.0,2.0,971.0,2016,3,737.0
2,u,462500.0,13.5,1.0,1.0,164.0,2016,6,737.0
3,h,670000.0,13.5,2.0,2.0,657.0,2016,6,737.0
2,h,675000.0,13.5,1.0,1.0,612.0,2016,6,737.0
