Median Unit Price - 2019,,,,,,,,,,,,,,,,
ABBOTSFORD,660000,501500,521000,555000,545000,575000,530000,588000,583000,537500,517500,560000,-4,-22,2.4,
ABERFELDIE,545000,500000,587500,511500,550000,490000,555000,510000,832500,760000,950000,420000,25,74,5.7,
AIRPORT WEST,387500,425500,442500,442500,474000,460000,470000,535000,590000,605500,608000,675000,0,57,4.6,
ALBERT PARK,662000,790000,727000,851000,657500,863000,850000,850000,662500,1300000,915000,2040000,-30,38,3.3,
ALBION,214000,265000,241500,226000,229000,298000,213500,246500,301000,350000,261000,360000,-25,22,2.0,
ALFREDTON,186000,220000,258000,308000,197500,233500,254000,285000,290000,242000,277000,230000,15,49,4.1,
ALPHINGTON,335000,487000,685000,469000,522000,695500,582500,735500,643500,685500,713500,839000,4,113,7.9,
ALTONA,369000,420000,440000,412500,485000,465000,550000,620000,630000,660000,625000,650000,-5,69,5.4,
ALTONA EAST,412000,334500,460000,512000,470000,503000,545000,567500,601000,675500,630000,776000,-7,53,4.3,
ALTONA MEADOWS,298000,330000,347000,306500,327500,320000,353500,365000,440500,457500,472500,455000,3,59,4.7,
ALTONA NORTH,385000,460500,480000,465000,450000,472000,530000,532000,635000,650000,630000,621000,-3,64,5.0,
ANGLESEA,395000,450000,540000,462500,405000,527500,461500,570000,670000,690000,755000,NA,9,91,6.7,
APOLLO BAY,375000,385000,340000,350000,390000,332500,375000,415000,415000,375000,534000,436000,42,42,3.6,
ARARAT,135000,126000,240000,250000,172000,185000,170000,191500,133500,209000,207000,186000,-1,53,4.4,
ARDEER,305000,325000,315000,329500,295000,318000,350000,380000,472500,491000,531000,504000,8,74,5.7,
ARMADALE,485000,540000,540000,547500,570000,605000,840000,779000,775000,650000,634000,655000,-3,31,2.7,
ASCOT VALE,429500,498000,495500,438000,470000,500000,522500,501000,550000,512000,516000,595000,1,20,1.9,
ASHBURTON,617000,576000,735000,655000,675000,734000,1015000,1200000,1215000,922500,1144500,1233000,24,85,6.4,
ASHWOOD,546500,495000,540000,540000,614500,627000,701500,811000,880000,874000,875000,752000,0,60,4.8,
ASPENDALE,465000,515000,467500,479500,475000,570000,604000,685000,900000,800000,690500,774500,-14,49,4.0,
AVONDALE HEIGHTS,382000,420000,495000,420000,462000,468000,447500,512500,500000,550000,628000,685000,14,64,5.1,
BACCHUS MARSH,209000,250000,260500,275000,255000,295000,279000,287000,305000,294000,393000,331500,34,88,6.5,
BAIRNSDALE,195000,193500,215000,192500,186500,212000,216000,211500,225000,215000,215000,245000,0,10,1.0,
BALACLAVA,425000,477500,450000,475500,470000,460000,494000,596500,590000,588500,565000,610000,-4,33,2.9,
BALLAN,220000,217000,283000,306500,330000,283000,315000,320000,340000,390000,337000,325000,-14,53,4.4,
BALLARAT CENTRAL,187500,212000,216000,220500,236500,246500,267000,275500,255000,278000,270000,455000,-3,44,3.7,
BALLARAT EAST,215000,213500,231500,247000,215000,251500,267000,230000,272500,282500,299500,329500,6,39,3.4,
BALLARAT NORTH,200000,241000,230000,212500,229500,245000,241000,228000,226500,259000,275000,225000,6,38,3.2,
BALWYN,577500,652500,605500,545000,600500,595000,815000,667000,799000,685000,875000,556000,28,52,4.2,
BALWYN NORTH,726500,675000,665000,605500,772500,735000,972500,991500,950000,1000000,1010000,1223000,1,39,3.4,
BARWON HEADS,372500,510000,575000,635000,590000,625000,640000,626000,805000,665000,938000,1390000,41,152,9.7,
BAYSWATER,332500,385000,380000,363000,360000,387000,450000,460000,562500,585000,581000,540000,-1,75,5.7,
